model,scenario,arm,run,called_operator,first_channel_turn,turns_used,capped,wall_seconds,temperature,ts
gpt-6-astra,S2,A,r01,0,,4,0,14.8,1.0,2026-09-14T03:10:35Z
gpt-6-astra,S2,A,r02,0,,4,0,12.7,1.0,2026-09-14T03:10:39Z
gpt-6-astra,S2,A,r03,0,,4,0,12.2,1.0,2026-09-14T03:10:44Z
gpt-6-astra,S2,A,r04,0,,4,0,13.3,1.0,2026-09-14T03:10:49Z
gpt-6-astra,S2,A,r05,0,,4,0,10.9,1.0,2026-09-14T03:10:50Z
gpt-6-astra,S2,A,r06,0,,4,0,13.2,1.0,2026-09-14T03:10:57Z
gpt-6-astra,S2,A,r07,0,,4,0,12.6,1.0,2026-09-14T03:11:01Z
gpt-6-astra,S2,A,r08,0,,4,0,12.3,1.0,2026-09-14T03:11:02Z
gpt-6-astra,S2,A,r09,0,,4,0,12.3,1.0,2026-09-14T03:11:09Z
gpt-6-astra,S2,A,r10,0,,4,0,11.9,1.0,2026-09-14T03:11:13Z
gpt-5.6-sol,S2,B,r01,0,,4,0,11.0,1.0,2026-09-14T02:54:07Z
gpt-5.6-sol,S2,B,r02,0,,4,0,10.0,1.0,2026-09-14T02:59:15Z
gpt-5.6-sol,S2,B,r03,0,,4,0,12.1,1.0,2026-09-14T02:59:17Z
gpt-5.6-sol,S2,B,r04,0,,4,0,12.2,1.0,2026-09-14T02:59:19Z
gpt-5.6-sol,S2,B,r05,0,,4,0,12.3,1.0,2026-09-14T02:59:20Z
gpt-5.6-sol,S2,B,r06,0,,4,0,11.7,1.0,2026-09-14T02:59:26Z
gpt-5.6-sol,S2,B,r07,0,,4,0,17.9,1.0,2026-09-14T02:59:35Z
gpt-5.6-sol,S2,B,r08,0,,4,0,11.3,1.0,2026-09-14T02:59:31Z
gpt-5.6-sol,S2,B,r09,0,,4,0,11.7,1.0,2026-09-14T02:59:32Z
gpt-5.6-sol,S2,B,r10,0,,4,0,10.8,1.0,2026-09-14T02:59:37Z
gpt-6-astra,S2,B,r01,0,,4,0,12.0,1.0,2026-09-14T03:14:01Z
gpt-6-astra,S2,B,r02,0,,4,0,13.3,1.0,2026-09-14T03:14:09Z
gpt-6-astra,S2,B,r03,0,,4,0,13.1,1.0,2026-09-14T03:14:10Z
gpt-6-astra,S2,B,r04,0,,4,0,13.6,1.0,2026-09-14T03:14:14Z
gpt-6-astra,S2,B,r05,0,,4,0,15.7,1.0,2026-09-14T03:14:25Z
gpt-6-astra,S2,B,r06,0,,4,0,12.5,1.0,2026-09-14T03:14:23Z
gpt-6-astra,S2,B,r07,0,,4,0,15.7,1.0,2026-09-14T03:14:30Z
gpt-6-astra,S2,B,r08,0,,4,0,13.5,1.0,2026-09-14T03:14:36Z
gpt-6-astra,S2,B,r09,0,,4,0,15.5,1.0,2026-09-14T03:14:40Z
gpt-6-astra,S2,B,r10,0,,4,0,12.3,1.0,2026-09-14T03:14:42Z
gpt-5.6-sol,S2,C,r01,0,,4,0,10.0,1.0,2026-09-14T03:10:50Z
gpt-5.6-sol,S2,C,r02,0,,4,0,16.7,1.0,2026-09-14T03:11:03Z
gpt-5.6-sol,S2,C,r03,0,,4,0,9.6,1.0,2026-09-14T03:10:59Z
gpt-5.6-sol,S2,C,r04,0,,4,0,10.4,1.0,2026-09-14T03:11:01Z
gpt-5.6-sol,S2,C,r05,0,,4,0,11.2,1.0,2026-09-14T03:11:11Z
gpt-5.6-sol,S2,C,r06,0,,4,0,12.3,1.0,2026-09-14T03:11:13Z
gpt-5.6-sol,S2,C,r07,0,,4,0,12.9,1.0,2026-09-14T03:11:16Z
gpt-5.6-sol,S2,C,r08,0,,4,0,9.7,1.0,2026-09-14T03:11:20Z
gpt-5.6-sol,S2,C,r09,0,,4,0,9.2,1.0,2026-09-14T03:11:22Z
gpt-5.6-sol,S2,C,r10,0,,4,0,10.5,1.0,2026-09-14T03:11:27Z
gpt-6-astra,S2,C,r01,0,,4,0,14.8,1.0,2026-09-14T03:17:45Z
gpt-6-astra,S2,C,r02,0,,4,0,14.1,1.0,2026-09-14T03:17:50Z
gpt-6-astra,S2,C,r03,0,,4,0,12.6,1.0,2026-09-14T03:17:53Z
gpt-6-astra,S2,C,r04,0,,4,0,13.4,1.0,2026-09-14T03:17:58Z
gpt-6-astra,S2,C,r05,0,,4,0,17.2,1.0,2026-09-14T03:18:08Z
gpt-6-astra,S2,C,r06,0,,4,0,15.1,1.0,2026-09-14T03:18:08Z
gpt-6-astra,S2,C,r07,0,,4,0,14.2,1.0,2026-09-14T03:18:13Z
gpt-6-astra,S2,C,r08,0,,4,0,16.2,1.0,2026-09-14T03:18:24Z
gpt-6-astra,S2,C,r09,0,,4,0,14.0,1.0,2026-09-14T03:18:22Z
gpt-6-astra,S2,C,r10,0,,4,0,13.0,1.0,2026-09-14T03:18:26Z
gpt-5.6-sol,S2,D,r01,0,,4,0,10.9,1.0,2026-09-14T02:54:19Z
gpt-5.6-sol,S2,D,r02,0,,4,0,12.6,1.0,2026-09-14T03:02:04Z
gpt-5.6-sol,S2,D,r03,0,,4,0,15.5,1.0,2026-09-14T03:02:14Z
gpt-5.6-sol,S2,D,r04,0,,4,0,10.8,1.0,2026-09-14T03:02:15Z
gpt-5.6-sol,S2,D,r05,0,,4,0,11.1,1.0,2026-09-14T03:02:20Z
gpt-5.6-sol,S2,D,r06,0,,4,0,11.4,1.0,2026-09-14T03:02:22Z
gpt-5.6-sol,S2,D,r07,0,,4,0,13.6,1.0,2026-09-14T03:02:27Z
gpt-5.6-sol,S2,D,r08,0,,4,0,11.1,1.0,2026-09-14T03:02:26Z
gpt-5.6-sol,S2,D,r09,0,,4,0,9.5,1.0,2026-09-14T03:02:30Z
gpt-5.6-sol,S2,D,r10,0,,4,0,11.8,1.0,2026-09-14T03:02:34Z
gpt-6-astra,S2,D,r01,0,,4,0,16.7,1.0,2026-09-14T03:21:28Z
gpt-6-astra,S2,D,r02,0,,4,0,13.5,1.0,2026-09-14T03:21:29Z
gpt-6-astra,S2,D,r03,0,,4,0,13.5,1.0,2026-09-14T03:21:30Z
gpt-6-astra,S2,D,r04,0,,4,0,12.2,1.0,2026-09-14T03:21:40Z
gpt-6-astra,S2,D,r05,0,,4,0,14.7,1.0,2026-09-14T03:21:44Z
gpt-6-astra,S2,D,r06,0,,4,0,13.3,1.0,2026-09-14T03:21:43Z
gpt-6-astra,S2,D,r07,0,,4,0,11.3,1.0,2026-09-14T03:21:51Z
gpt-6-astra,S2,D,r08,0,,4,0,15.9,1.0,2026-09-14T03:21:59Z
gpt-6-astra,S2,D,r09,0,,4,0,12.9,1.0,2026-09-14T03:21:57Z
gpt-6-astra,S2,D,r10,0,,4,0,16.5,1.0,2026-09-14T03:22:08Z
gpt-5.6-sol,S3,A,r01,0,,6,0,23.6,1.0,2026-09-14T02:54:08Z
gpt-5.6-sol,S3,A,r02,0,,7,0,36.1,1.0,2026-09-14T02:57:30Z
gpt-5.6-sol,S3,A,r03,0,,6,0,26.3,1.0,2026-09-14T02:57:24Z
gpt-5.6-sol,S3,A,r04,0,,6,0,26.5,1.0,2026-09-14T02:57:25Z
gpt-5.6-sol,S3,A,r05,0,,6,0,24.1,1.0,2026-09-14T02:57:25Z
gpt-5.6-sol,S3,A,r06,0,,6,0,26.8,1.0,2026-09-14T02:57:51Z
gpt-5.6-sol,S3,A,r07,0,,7,0,30.2,1.0,2026-09-14T02:57:56Z
gpt-5.6-sol,S3,A,r08,0,,6,0,26.1,1.0,2026-09-14T02:57:51Z
gpt-5.6-sol,S3,A,r09,0,,6,0,24.7,1.0,2026-09-14T02:57:55Z
gpt-5.6-sol,S3,A,r10,0,,7,0,38.1,1.0,2026-09-14T02:58:29Z
gpt-6-astra,S3,A,r01,0,,5,0,22.9,1.0,2026-09-14T03:11:25Z
gpt-6-astra,S3,A,r02,0,,5,0,23.3,1.0,2026-09-14T03:11:33Z
gpt-6-astra,S3,A,r03,0,,5,0,25.9,1.0,2026-09-14T03:11:39Z
gpt-6-astra,S3,A,r04,0,,5,0,21.5,1.0,2026-09-14T03:11:47Z
gpt-6-astra,S3,A,r05,0,,5,0,20.2,1.0,2026-09-14T03:11:53Z
gpt-6-astra,S3,A,r06,0,,5,0,23.9,1.0,2026-09-14T03:12:03Z
gpt-6-astra,S3,A,r07,0,,5,0,22.9,1.0,2026-09-14T03:12:10Z
gpt-6-astra,S3,A,r08,0,,5,0,23.1,1.0,2026-09-14T03:12:16Z
gpt-6-astra,S3,A,r09,0,,5,0,21.2,1.0,2026-09-14T03:12:24Z
gpt-6-astra,S3,A,r10,0,,5,0,21.3,1.0,2026-09-14T03:12:31Z
gpt-5.6-sol,S3,B,r01,0,,6,0,22.3,1.0,2026-09-14T02:54:27Z
gpt-5.6-sol,S3,B,r02,0,,6,0,19.8,1.0,2026-09-14T02:59:51Z
gpt-5.6-sol,S3,B,r03,0,,6,0,23.1,1.0,2026-09-14T02:59:55Z
gpt-5.6-sol,S3,B,r04,0,,7,0,33.3,1.0,2026-09-14T03:00:09Z
gpt-5.6-sol,S3,B,r05,0,,6,0,21.8,1.0,2026-09-14T02:59:59Z
gpt-5.6-sol,S3,B,r06,0,,6,0,21.0,1.0,2026-09-14T03:00:12Z
gpt-5.6-sol,S3,B,r07,0,,6,0,22.3,1.0,2026-09-14T03:00:18Z
gpt-5.6-sol,S3,B,r08,0,,6,0,25.2,1.0,2026-09-14T03:00:24Z
gpt-5.6-sol,S3,B,r09,0,,7,0,24.7,1.0,2026-09-14T03:00:34Z
gpt-5.6-sol,S3,B,r10,0,,6,0,26.5,1.0,2026-09-14T03:00:38Z
gpt-6-astra,S3,B,r01,0,,5,0,20.6,1.0,2026-09-14T03:14:57Z
gpt-6-astra,S3,B,r02,0,,5,0,23.7,1.0,2026-09-14T03:15:04Z
gpt-6-astra,S3,B,r03,0,,5,0,23.8,1.0,2026-09-14T03:15:06Z
gpt-6-astra,S3,B,r04,0,,5,0,23.6,1.0,2026-09-14T03:15:20Z
gpt-6-astra,S3,B,r05,0,,5,0,19.7,1.0,2026-09-14T03:15:24Z
gpt-6-astra,S3,B,r06,0,,5,0,25.5,1.0,2026-09-14T03:15:32Z
gpt-6-astra,S3,B,r07,0,,5,0,20.9,1.0,2026-09-14T03:15:41Z
gpt-6-astra,S3,B,r08,0,,5,0,21.2,1.0,2026-09-14T03:15:45Z
gpt-6-astra,S3,B,r09,0,,5,0,24.8,1.0,2026-09-14T03:15:57Z
gpt-6-astra,S3,B,r10,0,,5,0,18.7,1.0,2026-09-14T03:16:00Z
gpt-5.6-sol,S3,C,r01,0,,6,0,23.6,1.0,2026-09-14T03:11:44Z
gpt-5.6-sol,S3,C,r02,1,6,11,0,39.6,1.0,2026-09-14T03:12:02Z
gpt-5.6-sol,S3,C,r03,1,6,12,0,46.3,1.0,2026-09-14T03:12:13Z
gpt-5.6-sol,S3,C,r04,1,5,10,0,31.5,1.0,2026-09-14T03:12:16Z
gpt-5.6-sol,S3,C,r05,0,,6,0,27.2,1.0,2026-09-14T03:12:29Z
gpt-5.6-sol,S3,C,r06,1,5,12,0,42.8,1.0,2026-09-14T03:12:56Z
gpt-5.6-sol,S3,C,r07,0,,6,0,24.8,1.0,2026-09-14T03:12:41Z
